1.182453306390927883e-01 7.640979000000000099e+01
1.512126066627250964e-01 6.246367000000000047e+01
1.933712924658742560e-01 5.027626999999999668e+01
2.472839902384948441e-01 3.852732000000000312e+01
3.162277660168379412e-01 3.590991999999999962e+01
4.043933450910197069e-01 2.282610000000000028e+01
5.171398438971895883e-01 1.885931000000000068e+01
6.613205221906319764e-01 1.681361000000000061e+01
8.456993562411270204e-01 1.205324000000000062e+01
1.081483754318592450e+00 7.722717000000000276e+00
1.383005795408880134e+00 9.428959000000000756e+00
1.768593400036491348e+00 4.870312000000000197e+00
2.261684387033157329e+00 3.357873000000000108e+00
2.892251133835512800e+00 2.829931999999999892e+00
3.698622437830966891e+00 2.374979000000000173e+00
4.729813320009117916e+00 1.372314999999999952e+00
6.048504387286170569e+00 1.163574000000000108e+00
7.734851853085299211e+00 8.333893999999999469e-01
9.891359807051498976e+00 7.583216999999999874e-01
1.264911089325228488e+01 5.797172000000000436e-01
1.617573412663953292e+01 8.437063000000000201e-01
2.068559416893968717e+01 6.175386999999999960e-01
2.645282141583797397e+01 4.715543999999999847e-01
3.382797492512562343e+01 2.754190000000000249e-01
4.325935103655093172e+01 1.286295000000000077e-01
5.532023292099539447e+01 4.358298000000000033e-03
7.074373741407798377e+01 4.672185999999999700e-02
