5.473772780719172726e-01 4.361788532297167080e+02
6.482722502757086724e-01 3.676877357287053769e+02
7.677646247170598626e-01 2.675735275676520359e+02
9.092823558562476149e-01 2.497628597217487254e+02
1.076885253701525880e+00 2.013420285419627760e+02
1.275381450185248511e+00 1.804040649852310878e+02
1.510465333131455479e+00 1.515082074811737982e+02
1.788880904815206785e+00 1.334487308495384355e+02
2.118615251485530759e+00 1.088169816357913788e+02
2.509127674036391920e+00 1.078747795302235772e+02
2.971621053044360306e+00 8.909470772895738833e+01
3.519363232996012947e+00 8.271603534653425527e+01
4.168067645460726389e+00 6.801674785613442964e+01
4.936344090390235806e+00 6.125581685921613229e+01
5.846232607397394254e+00 5.461107987088342952e+01
6.923835752522393250e+00 4.474161119992282210e+01
8.200067419015830694e+00 4.056360407188076778e+01
9.711539684041266440e+00 3.295110996446907592e+01
1.150161312283794857e+01 2.743246975257525833e+01
1.362164072138037341e+01 2.321449378403151087e+01
1.613244107245584757e+01 1.789807238167205838e+01
1.910604311768154773e+01 1.528662684026888030e+01
2.262775248799569994e+01 1.264871392985882892e+01
2.679859872105883056e+01 9.171856214047579670e+00
3.173823356046212041e+01 6.679421497581389033e+00
3.758836348211288225e+01 4.693820306924395780e+00
4.451681491888499664e+01 3.917243187791692893e+00
5.272234880524429457e+01 2.851941729584997809e+00
6.244036255978092242e+01 1.802299592085983670e+00
7.394964308208287207e+01 1.406278107012986167e+00
